,Numeric code,English short name (using title case),Independent,Code,Sink OFC,Conduit OFC
141,480, Mauritius,Yes,MUS,Yes,No
142,175, Mayotte,No,MYT,No,No
143,484, Mexico,Yes,MEX,No,No
144,583, Micronesia (Federated States of),Yes,FSM,No,No
145,498," Moldova, Republic of",Yes,MDA,No,No
146,492, Monaco,Yes,MCO,Yes,No
147,496, Mongolia,Yes,MNG,No,No
148,499, Montenegro,Yes,MNE,No,No
149,500, Montserrat,No,MSR,Yes,No
150,504, Morocco,Yes,MAR,No,No
151,508, Mozambique,Yes,MOZ,No,No
152,104, Myanmar,Yes,MMR,No,No
153,516, Namibia,Yes,NAM,No,No
154,520, Nauru,Yes,NRU,Yes,No
155,524, Nepal,Yes,NPL,No,No
156,528, Netherlands,Yes,NLD,No,Yes
157,540, New Caledonia,No,NCL,No,No
158,554, New Zealand,Yes,NZL,No,No
159,558, Nicaragua,Yes,NIC,No,No
160,562, Niger,Yes,NER,No,No
161,566, Nigeria,Yes,NGA,No,No
162,570, Niue,No,NIU,Yes,No
163,574, Norfolk Island,No,NFK,No,No
164,807, North Macedonia,Yes,MKD,No,No
165,580, Northern Mariana Islands,No,MNP,No,No
166,578, Norway,Yes,NOR,No,No
167,512, Oman,Yes,OMN,No,No
168,586, Pakistan,Yes,PAK,No,No
169,585, Palau,Yes,PLW,No,No
170,275," Palestine, State of",No,PSE,No,No
171,591, Panama,Yes,PAN,Yes,No
172,598, Papua New Guinea,Yes,PNG,No,No
173,600, Paraguay,Yes,PRY,No,No
174,604, Peru,Yes,PER,No,No
175,608, Philippines,Yes,PHL,No,No
176,612, Pitcairn,No,PCN,No,No
177,616, Poland,Yes,POL,No,No
178,620, Portugal,Yes,PRT,No,No
179,630, Puerto Rico,No,PRI,No,No
180,634, Qatar,Yes,QAT,No,No
181,638, Réunion,No,REU,No,No
182,642, Romania,Yes,ROU,No,No
183,643, Russian Federation,Yes,RUS,No,No
184,646, Rwanda,Yes,RWA,No,No
185,652, Saint Barthélemy,No,BLM,No,No
186,654," Saint Helena, Ascension and Tristan da Cunha",No,SHN,No,No
187,659, Saint Kitts and Nevis,Yes,KNA,No,No
188,662, Saint Lucia,Yes,LCA,No,No
189,663, Saint Martin (French part),No,MAF,No,No
190,666, Saint Pierre and Miquelon,No,SPM,No,No
191,670, Saint Vincent and the Grenadines,Yes,VCT,Yes,No
192,882, Samoa,Yes,WSM,Yes,No
193,674, San Marino,Yes,SMR,No,No
194,678, Sao Tome and Principe,Yes,STP,No,No
195,682, Saudi Arabia,Yes,SAU,No,No
196,686, Senegal,Yes,SEN,No,No
197,688, Serbia,Yes,SRB,No,No
198,690, Seychelles,Yes,SYC,Yes,No
199,694, Sierra Leone,Yes,SLE,No,No
200,702, Singapore,Yes,SGP,No,Yes
201,534, Sint Maarten (Dutch part),No,SXM,No,No
202,703, Slovakia,Yes,SVK,No,No
203,705, Slovenia,Yes,SVN,No,No
204,90, Solomon Islands,Yes,SLB,No,No
205,706, Somalia,Yes,SOM,No,No
206,710, South Africa,Yes,ZAF,No,No
